crimeID,longitude,latitude
'e6000',-0.303965,51.375174
'19884',-0.298226,51.367196
'b465f',-0.255044,51.400022
'824ba',-0.21842,51.358411
'bd449',-0.195055,51.36049
'3ff9d',-0.192925,51.364989
'f76fa',-0.196627,51.369471
'04f3f',-0.188065,51.387306
'0598c',-0.204951,51.393796
'ba3e8',-0.215178,51.408918
'a517b',-0.193287,51.403237
'c4459',-0.180597,51.400562
'e2d42',-0.173402,51.404326
'ff988',-0.165692,51.405141
'95f4d',-0.18093,51.407393
'e5200',-0.176258,51.42
'7a813',-0.21682,51.44431
'ceae0',-0.215976,51.44936
'1a8db',-0.198469,51.459749
'f5d8a',-0.195253,51.456633
'395c9',-0.169349,51.462958
'97951',-0.166747,51.443817
'6e85a',-0.155941,51.438791
'9be80',-0.152494,51.443638
'cad0c',-0.148556,51.445662
'f068b',-0.142531,51.454757
'0c7b9',-0.142036,51.453122
'7cb4d',-0.135589,51.446032
'd70ae',-0.124835,51.44613
'2972a',-0.104639,51.433396
'144e9',-0.128346,51.436987
'9e57f',-0.130689,51.432096
'0b647',-0.143774,51.41913
'fd1d4',-0.145742,51.409953
'cbe21',-0.130895,51.407325
'7367c',-0.114785,51.400817
'3ba9e',-0.11521,51.398513
'a7bac',-0.100927,51.396268
'6742c',-0.099674,51.399107
'63f62',-0.093635,51.401212
'e70a8',-0.092042,51.396996
'527ca',-0.088855,51.394462
'e228c',-0.0761,51.392517
'3db46',-0.082927,51.384626
'03f24',-0.090905,51.381824
'bb562',-0.097878,51.378988
'78be7',-0.110334,51.381843
'95d5b',-0.102799,51.378124
'8d330',-0.101933,51.374063
'8f6cc',-0.101088,51.372592
'c7b1e',-0.10254,51.371195
'5b318',-0.09645,51.354449
'da0ba',-0.099741,51.355152
'b559f',-0.142168,51.359052
'ead04',-0.144756,51.359704
'faea3',-0.117062,51.336951
'fdf68',-0.10296,51.323819
'c0da2',-0.099569,51.312091
'63cb4',0.033572,51.314603
'73c88',-0.025574,51.367486
'f6f39',-0.042682,51.394167
'd58f6',-0.03598,51.400629
'15ff6',-0.055438,51.416061
'957cf',-0.035466,51.427032
'bc97f',-0.055552,51.439813
'f4a14',-0.062738,51.452926
'a14f0',-0.064836,51.454714
'70700',-0.069622,51.456574
'c543e',-0.047126,51.467667
'8c1e3',-0.061107,51.473079
'79146',-0.062926,51.470924
